gene_a,gene_b,correlation,weight
COL2A1,COLEC11,0.636813937673345,0.636813937673345
COL2A1,AMHR2,0.6603171416065432,0.6603171416065432
COL2A1,PTPN5,0.6139425413776718,0.6139425413776718
MS4A1,ADAM6,0.7707389225200112,0.7707389225200112
MS4A1,IGJ,0.7532941059346185,0.7532941059346185
MS4A1,MGC29506,0.7286030034084386,0.7286030034084386
MS4A1,BMS1P20,0.7506731464068398,0.7506731464068398
MS4A1,CXCL13,0.6940361363153027,0.6940361363153027
MS4A1,FCRL5,0.7697902465292787,0.7697902465292787
MS4A1,CD79A,0.7587186058614952,0.7587186058614952
MS4A1,CXCL9,0.6739709348631611,0.6739709348631611
MS4A1,PLA2G2D,0.6988980333728699,0.6988980333728699
MS4A1,IRF4,0.7939823444149858,0.7939823444149858
MS4A1,CCL19,0.7786896589334775,0.7786896589334775
MS4A1,IL21R,0.7285619264580845,0.7285619264580845
MS4A1,GZMK,0.7812282728756806,0.7812282728756806
FCRL5,ADAM6,0.9400426582533733,0.9400426582533733
FCRL5,IGJ,0.9125343338178681,0.9125343338178681
FCRL5,MGC29506,0.916755456553605,0.916755456553605
FCRL5,BMS1P20,0.9261601520298045,0.9261601520298045
FCRL5,CXCL13,0.6986463886716244,0.6986463886716244
FCRL5,CD79A,0.8830853247070997,0.8830853247070997
FCRL5,CXCL9,0.7009949407722472,0.7009949407722472
FCRL5,PLA2G2D,0.6937774799907733,0.6937774799907733
FCRL5,POU2AF1,0.7304424385919907,0.7304424385919907
FCRL5,IRF4,0.8951817453707275,0.8951817453707275
FCRL5,CCL19,0.6828658240251135,0.6828658240251135
FCRL5,KIAA0125,0.6722605758151083,0.6722605758151083
FCRL5,IL21R,0.6998155285727257,0.6998155285727257
FCRL5,GZMK,0.690389537318127,0.690389537318127
NKX3-2,SFRP2,0.7803068388172997,0.7803068388172997
NKX3-2,EPYC,0.6838172769209228,0.6838172769209228
NKX3-2,MMP13,0.6043937380085224,0.6043937380085224
NKX3-2,LRRC15,0.7355740585274816,0.7355740585274816
NKX3-2,COMP,0.6212184244598868,0.6212184244598868
NKX3-2,NTM,0.701137365975775,0.701137365975775
NKX3-2,GREM1,0.6292795420764754,0.6292795420764754
NKX3-2,CXCL14,0.6856836164545831,0.6856836164545831
NKX3-2,FAP,0.7707797012829783,0.7707797012829783
NKX3-2,IGFL2,0.6429669298936839,0.6429669298936839
NKX3-2,GFRA1,0.6112063095125657,0.6112063095125657
NKX3-2,COL10A1,0.7656727181280026,0.7656727181280026
NKX3-2,DIO2,0.6764226200788096,0.6764226200788096
NKX3-2,BARX1,0.6126223508345846,0.6126223508345846
NKX3-2,MEGF10,0.6622178266064056,0.6622178266064056
NKX3-2,OMD,0.6644647341596639,0.6644647341596639
NKX3-2,MMP11,0.7197281762280544,0.7197281762280544
NKX3-2,SFRP4,0.6622500855485738,0.6622500855485738
NKX3-2,ASPN,0.6671035275074734,0.6671035275074734
NKX3-2,INHBA,0.7501410522620084,0.7501410522620084
NKX3-2,GJB2,0.6321069710111188,0.6321069710111188
NKX3-2,SVEP1,0.6164717251420685,0.6164717251420685
NKX3-2,ACTG2,0.6064346894811142,0.6064346894811142
NKX3-2,SLC35D3,0.6724083097696503,0.6724083097696503
NKX3-2,THBS2,0.7656802754672813,0.7656802754672813
NKX3-2,ADAM12,0.7188692268757997,0.7188692268757997
SFRP4,SFRP2,0.6581162012911255,0.6581162012911255
SFRP4,EPYC,0.6319434369017907,0.6319434369017907
SFRP4,LRRC15,0.7095625506950077,0.7095625506950077
SFRP4,COMP,0.649551272293729,0.649551272293729
SFRP4,NTM,0.6499309588445964,0.6499309588445964
SFRP4,CCL11,0.7121453942386027,0.7121453942386027
SFRP4,FAP,0.7431651462794031,0.7431651462794031
SFRP4,IGFL2,0.6555248082476504,0.6555248082476504
SFRP4,COL10A1,0.8166068511872354,0.8166068511872354
SFRP4,DIO2,0.6012945038476594,0.6012945038476594
SFRP4,DPT,0.6366301914859072,0.6366301914859072
SFRP4,OMD,0.8018736865018259,0.8018736865018259
SFRP4,MMP11,0.6276581548304081,0.6276581548304081
SFRP4,ASPN,0.6507164082785599,0.6507164082785599
SFRP4,INHBA,0.7284654273936377,0.7284654273936377
SFRP4,OGN,0.6045844953832821,0.6045844953832821
SFRP4,GJB2,0.6122756919521328,0.6122756919521328
SFRP4,SVEP1,0.6456778408648985,0.6456778408648985
SFRP4,FMO1,0.7127937769079453,0.7127937769079453
SFRP4,CNTN1,0.6083925470203947,0.6083925470203947
SFRP4,C5orf46,0.6484286076718507,0.6484286076718507
SFRP4,SULF1,0.6174637495972177,0.6174637495972177
SFRP4,ACTG2,0.7079794219935777,0.7079794219935777
SFRP4,THBS2,0.8036929299214436,0.8036929299214436
SFRP4,ADAM12,0.6565348503872265,0.6565348503872265
TCF21,DLK1,0.6041341160923489,0.6041341160923489
TCF21,GATA4,0.7315719960884645,0.7315719960884645
TCF21,COLEC11,0.7311982702015316,0.7311982702015316
TCF21,ARX,0.7813461838085409,0.7813461838085409
TCF21,STAR,0.6983738690143858,0.6983738690143858
TCF21,C3orf72,0.7304454222890613,0.7304454222890613
TCF21,FOXL2,0.7535104197607063,0.7535104197607063
TCF21,PLCXD3,0.6694370362692176,0.6694370362692176
TCF21,PEG3,0.7422679610533156,0.7422679610533156
TCF21,CADPS,0.6658971886783243,0.6658971886783243
TCF21,THSD7B,0.6031707124662191,0.6031707124662191
TCF21,ABCA8,0.6515951566287356,0.6515951566287356
TCF21,SCUBE1,0.6160233425597729,0.6160233425597729
TCF21,PROK1,0.719465496790433,0.719465496790433
TCF21,PTPN5,0.6678314079983669,0.6678314079983669
ADAM12,SFRP2,0.8128010311225681,0.8128010311225681
ADAM12,EPYC,0.729251203852698,0.729251203852698
ADAM12,MMP13,0.7403874651894361,0.7403874651894361
ADAM12,LRRC15,0.839964888498761,0.839964888498761
ADAM12,NTM,0.8171444783994307,0.8171444783994307
ADAM12,GREM1,0.7626597865865168,0.7626597865865168
ADAM12,CCL11,0.6861537681427891,0.6861537681427891
ADAM12,CXCL14,0.6903236702630029,0.6903236702630029
ADAM12,FAP,0.8741497127745864,0.8741497127745864
ADAM12,IGFL2,0.7071014797981748,0.7071014797981748
ADAM12,GFRA1,0.6503355149882374,0.6503355149882374
ADAM12,COL10A1,0.7060647340526006,0.7060647340526006
ADAM12,COL6A6,0.7967259651903069,0.7967259651903069
ADAM12,DIO2,0.7448219401647155,0.7448219401647155
ADAM12,MEGF10,0.7490444000117785,0.7490444000117785
ADAM12,DPT,0.7212011984803126,0.7212011984803126
ADAM12,OMD,0.7165159089458699,0.7165159089458699
ADAM12,MMP11,0.8435547998927596,0.8435547998927596
ADAM12,SEMA3D,0.6347299800334811,0.6347299800334811
ADAM12,ASPN,0.8210663767671015,0.8210663767671015
ADAM12,INHBA,0.8629269214102379,0.8629269214102379
ADAM12,MEOX2,0.6595868136812388,0.6595868136812388
ADAM12,PTGER3,0.6082445360504005,0.6082445360504005
ADAM12,GJB2,0.7542372693029923,0.7542372693029923
ADAM12,SVEP1,0.7606782297581084,0.7606782297581084
ADAM12,FMO1,0.6311424161537852,0.6311424161537852
ADAM12,PTPRD,0.6031511461238458,0.6031511461238458
ADAM12,C5orf46,0.6978847944187585,0.6978847944187585
ADAM12,SULF1,0.6762959588439872,0.6762959588439872
ADAM12,ACTG2,0.7063056256180624,0.7063056256180624
ADAM12,SCG2,0.777665085167613,0.777665085167613
ADAM12,SLC35D3,0.7319009754392026,0.7319009754392026
ADAM12,THBS2,0.8907387859865109,0.8907387859865109
IGFL2,SFRP2,0.6913235091467071,0.6913235091467071
IGFL2,EPYC,0.6910580626332183,0.6910580626332183
IGFL2,MMP13,0.6011250221411958,0.6011250221411958
IGFL2,LRRC15,0.7280036174542635,0.7280036174542635
IGFL2,NTM,0.7237697389638519,0.7237697389638519
IGFL2,GREM1,0.6560122253214542,0.6560122253214542
IGFL2,CCL11,0.7406396847503255,0.7406396847503255
IGFL2,CXCL14,0.6490979811134437,0.6490979811134437
IGFL2,FAP,0.784361451814878,0.784361451814878
IGFL2,COL10A1,0.7186582536577139,0.7186582536577139
IGFL2,DIO2,0.6486141066315861,0.6486141066315861
IGFL2,CALB2,0.6328420720185274,0.6328420720185274
