gene,mean_c2,mean_other,log2fc,pvalue
RPLP2,14.1543822494343,13.970480424002696,0.1839018254316045,0.08824837301777065
RPL29,14.146879549323103,13.96250369960671,0.18437584971639254,0.07067349378729429
NACA,14.085951747538111,14.125629337597198,-0.03967759005908711,0.5746103461239981
AHNAK,13.934495016831685,13.983310539603101,-0.04881552277141665,0.6717002610924224
CD81,14.11555258066307,13.956500677244167,0.15905190341890396,0.09096282422158454
CD9,14.066202210500872,13.873371772428493,0.1928304380723791,0.08534043867609344
KRT18,13.90505777950116,13.94640485365208,-0.04134707415092009,0.6867850576529484
TPI1,14.07390412847452,13.981400298592524,0.09250382988199668,0.2521777696602545
RPS27A,13.926183989848457,13.990556437580592,-0.06437244773213457,0.48250401179007185
CTSD,14.132581708305956,13.886823990497852,0.24575771780810385,0.008808027013975409
CFB,14.062416029380879,13.272218346369682,0.790197683011197,1.7465277454230004e-05
CANX,13.971335543896918,14.074541289495683,-0.10320574559876405,0.14247215801185842
RPS23,13.881671640622535,13.941755512185523,-0.06008387156298767,0.5464465125267175
RPS15A,13.948444822069087,13.873546439502428,0.07489838256665848,0.4629713884226805
UBA52,14.04792443832615,13.88674984781749,0.16117459050866145,0.08467777201261102
SPON1,13.651892658367153,13.22480474936645,0.4270879090007025,0.062471592177257874
RPS2,13.906095452786458,13.939006672974253,-0.032911220187795465,0.7159519966905533
LDHA,14.022583978907436,13.833357582881378,0.18922639602605784,0.03578130536601484
ATP1A1,13.967110503920821,14.036200998780673,-0.06909049485985186,0.30679000914359866
HSPA5,14.018603692477816,13.980423885796323,0.03817980668149268,0.5509224283227037
EIF4G2,13.929556776299158,14.045501097343648,-0.11594432104448948,0.057880465794076026
RPSAP58,13.923380279094436,13.825230426027824,0.09814985306661228,0.3381855402218962
APP,13.62236677895849,13.99409578811416,-0.3717290091556702,0.000140982114686319
PGK1,14.08073317131405,13.814360251576543,0.2663729197375062,0.00058295422742947
DHCR24,13.958608431903894,13.566289126711942,0.39231930519195224,0.001559014369236281
PFN1,14.135216986995038,13.799759230272556,0.3354577567224819,1.8999328865041825e-06
PCBP2,13.831222188013237,13.983885758942003,-0.15266357092876603,0.009123823283249276
RPL24,13.762098284738023,13.802875056391168,-0.040776771653144195,0.6673645552637099
P4HB,13.967334551182121,13.818458125256928,0.14887642592519335,0.04797613909859292
CALM2,13.959121376467188,13.841221642755032,0.11789973371215545,0.09911065675816133
ASS1,14.017154452508919,13.559220521768694,0.45793393074022504,2.399380565398663e-05
LAPTM4B,13.881011127513519,13.696270969125228,0.1847401583882906,0.06570839695528038
MUC1,13.83488789462743,13.310290156693906,0.524597737933524,0.001261076731952943
CD63,13.86054953946556,13.821826375354929,0.03872316411063004,0.6182154582722279
YBX1,13.813212498418174,13.784825138281974,0.028387360136200357,0.7358448719152846
IGFBP2,13.218111827682598,13.655496116218236,-0.4373842885356378,0.005964026710336628
NCL,13.785452000761047,13.923760773089548,-0.13830877232850014,0.03616234038564175
PTPRF,13.740365545122591,13.839376130884474,-0.09901058576188326,0.23725312531296494
KRT19,13.659044014996415,13.58294020159507,0.07610381340134431,0.5650559323894317
ADAM6,12.361303472383218,10.488380582654894,1.8729228897283239,1.615824019283112e-06
RPL12,13.64283753776836,13.62340167123119,0.019435866537170554,0.8634640003277465
NCRNA00188,13.523729392212045,13.61803570682229,-0.09430631461024497,0.42957759667601914
HNRNPA2B1,13.800555617231181,13.840627170695,-0.04007155346381985,0.444760421057132
ACTN4,13.612081342060485,13.645068004589666,-0.03298666252918103,0.7480075385370603
YWHAE,13.708186817531796,13.75793904982603,-0.04975223229423342,0.510070421921176
EIF4A2,13.776262097496375,13.761868217992474,0.01439387950390092,0.8199909268434277
NPM1,13.644216995237228,13.738337761841741,-0.0941207666045134,0.2887433126941448
HDLBP,13.594629337275306,13.827735325045165,-0.2331059877698589,0.0008794855974489918
TAGLN2,13.935301710062685,13.651949863986136,0.28335184607654895,0.00011163815836096965
MSLN,13.633004145464819,13.1935571875566,0.43944695790821875,0.009550555153782453
IFI6,13.491262884798443,12.789371994691956,0.7018908901064869,0.0005138881188354437
RPSA,13.686894568753033,13.597116240518517,0.08977832823451593,0.387778869537044
SPP1,13.71412059525422,13.061902306577638,0.6522182886765826,4.185649635071957e-05
RPL35,13.732585845219266,13.514610351091555,0.21797549412771033,0.04643347249225253
RPS21,13.672885757067679,13.51839641843064,0.1544893386370383,0.1430249256038575
RPS10,13.677316932984882,13.550659577219163,0.1266573557657189,0.22172967283415343
RPL23,13.500485762662557,13.602996242702371,-0.10251048003981467,0.2803128747240941
RPL27,13.505360665962243,13.522349676746803,-0.01698901078455961,0.8751175772124421
RPL6,13.52254840688581,13.652914371250848,-0.130365964365037,0.17801036373451795
IFITM1,13.68951630874218,13.145608090755442,0.543908217986738,0.001542868148359533
RPL14,13.572182158931472,13.556282040304469,0.01590011862700358,0.8661895016550589
